year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1988,3,0.4402,-2.2538,5.7006,1.6541,-2.1572,-2.0542
1988,4,0.4577,0.5650,0.9345,2.1932,0.6511,0.8805
1988,5,0.5051,-0.2815,-1.1958,0.5942,-0.1354,1.2654
1988,6,0.4832,4.7832,2.7853,-3.2605,2.2112,1.8270
1988,7,0.5060,-1.2465,0.2162,1.1054,-1.1317,0.0362
1988,8,0.5957,-3.2996,0.0323,1.6719,-2.1552,-0.3743
1988,9,0.6145,3.2965,-1.4556,-0.4200,2.1771,0.8003
1988,10,0.6074,1.1583,-2.8125,0.5013,0.0560,0.6658
1988,11,0.5742,-2.2855,-1.9280,1.3928,-0.4884,0.3857
1988,12,0.6306,1.4837,2.4204,0.4539,0.7818,0.3588
1989,1,0.5766,6.0383,-2.2040,0.0107,-0.3507,1.5755
1989,2,0.6110,-2.2487,2.9516,1.5631,-0.4588,-0.1775
1989,3,0.6213,1.6143,1.3323,1.2637,-0.1420,0.7625
1989,4,0.6810,4.3075,-0.9415,-0.2841,1.1641,-0.2366
1989,5,0.8006,3.3236,0.0394,0.1016,1.1975,0.4101
1989,6,0.7147,-1.3768,-0.7322,1.5930,-0.1521,-0.9450
1989,7,0.7040,7.1683,-3.4640,-0.4503,4.9063,2.5130
1989,8,0.6684,1.5108,0.4840,-0.4255,1.6506,0.1417
1989,9,0.6387,-0.7550,0.7698,1.1982,1.6439,1.9521
1989,10,0.6820,-3.6616,-3.3543,1.2994,1.4077,2.3565
1989,11,0.6340,1.0795,-1.3397,1.6323,0.2405,-0.6155
1989,12,0.5941,1.1758,-1.9468,1.5752,1.0677,2.4412
1990,1,0.5852,-7.8121,-1.2188,0.9250,0.0355,-0.2233
1990,2,0.5818,1.1004,1.1796,-1.0948,-0.3925,0.0922
1990,3,0.6380,1.8341,1.2208,-0.3645,2.2864,1.6764
1990,4,0.6829,-3.3489,-0.4983,-0.7918,1.9801,0.5974
1990,5,0.6404,8.4547,-1.6377,-0.8618,3.7369,2.6182
1990,6,0.5898,-1.0524,1.8450,0.2453,2.2253,-0.2247
1990,7,0.6704,-1.8917,-2.4684,4.0112,2.5571,0.0433
1990,8,0.6154,-10.0750,-4.5260,3.7203,-0.9983,1.2578
1990,9,0.5984,-6.1098,-3.4191,2.6212,-0.4552,2.6916
1990,10,0.6559,-1.8955,-5.0423,0.2605,2.0770,3.0868
1990,11,0.5651,6.3398,0.4489,-3.9833,1.5215,-0.8148
1990,12,0.5989,2.4606,1.3158,-1.9466,3.8535,1.5238
1991,1,0.4637,4.7365,3.3624,-3.9503,0.1591,1.5850
1991,2,0.4767,7.1852,3.6299,0.1463,-1.2402,-0.6823
1991,3,0.4391,2.6593,3.9312,-0.9285,1.6779,0.1004
1991,4,0.5335,-0.2776,-0.7093,0.4677,1.3981,0.6058
1991,5,0.4461,3.6749,-0.5648,-1.9526,-0.7118,-1.0608
1991,6,0.4171,-4.9395,0.0591,0.6135,1.3683,0.4787
1991,7,0.4840,4.2401,-0.5407,-0.6420,3.0470,0.3891
1991,8,0.4610,2.3149,1.2954,-0.0464,1.1455,-0.2482
1991,9,0.4558,-1.5905,1.8119,-0.8240,-0.3670,0.2138
1991,10,0.4246,1.2858,0.5540,1.3506,-0.0233,3.2052
1991,11,0.3915,-4.1854,-0.2715,0.2786,3.3179,0.4173
1991,12,0.3792,10.8282,-1.4904,-2.0414,6.7612,-0.4691
1992,1,0.3059,-0.5529,8.3502,1.5127,-4.1068,1.5420
1992,2,0.2828,1.0845,1.4008,2.2591,0.7471,2.2073
1992,3,0.3376,-2.6549,-1.2085,1.9963,1.0130,1.9936
1992,4,0.3303,1.0759,-6.9442,1.7888,-1.7091,1.9739
1992,5,0.2758,0.2994,-0.2592,0.2978,-0.2058,-0.7497
1992,6,0.3201,-2.3292,-2.6390,0.6456,1.0292,0.7977
1992,7,0.2892,3.7907,-0.8361,0.4045,2.5413,0.0568
1992,8,0.2605,-2.3769,-0.3076,-0.7904,1.5188,-0.9025
1992,9,0.2573,1.1928,0.6785,-0.3989,2.3975,-0.8834
1992,10,0.2286,1.0161,1.5448,-0.3740,2.1272,0.5956
1992,11,0.2346,4.1278,3.6819,-1.1853,0.9419,-0.1673
1992,12,0.2270,1.5884,2.7386,1.4042,1.8351,1.0356
1993,1,0.2335,0.9302,2.3192,2.9756,-1.4524,0.0222
1993,2,0.2209,0.1217,-3.3245,3.6485,-1.4498,2.3909
1993,3,0.2538,2.3137,-0.0213,0.9153,1.8026,0.5161
1993,4,0.2372,-3.0466,-1.1614,1.2062,-3.0094,2.0753
1993,5,0.2168,2.8843,1.8028,-0.8324,-0.5745,-0.3593
1993,6,0.2756,0.2822,1.5873,1.8188,3.0181,1.4058
1993,7,0.2402,-0.3440,1.3951,1.4477,-0.5825,0.7912
1993,8,0.2530,3.7117,-0.0209,-0.0505,0.4747,0.7651
1993,9,0.2356,-0.1005,3.1012,0.2582,0.9326,1.4091
1993,10,0.2210,1.4172,0.4139,-0.5567,-1.4235,-1.1779
1993,11,0.2477,-1.8646,-1.8754,-0.7414,-0.7395,0.1227
1993,12,0.2263,1.6454,2.1113,-0.2615,2.3815,2.2577
1994,1,0.2503,2.8669,0.1606,1.1240,-0.9212,0.9317
1994,2,0.2120,-2.5444,2.6566,-0.4777,2.6552,1.6046
1994,3,0.2469,-4.7556,-0.9444,0.9631,0.2169,1.2552
1994,4,0.2711,0.6802,-0.8153,1.2840,1.5378,1.5313
1994,5,0.3150,0.5800,-1.9768,0.5332,-0.7439,1.2084
1994,6,0.3118,-3.0373,-0.8432,0.8985,0.1798,1.3259
1994,7,0.2751,2.8161,-1.4321,0.4259,0.7148,-0.1256
1994,8,0.3687,4.0148,2.0904,-0.6915,2.0610,2.6728
1994,9,0.3659,-2.2829,2.2081,0.5879,1.0911,0.8939
1994,10,0.3840,1.3466,-1.8201,0.1613,0.3556,2.4760
1994,11,0.3691,-4.0276,0.5354,-1.0042,1.3703,1.4396
1994,12,0.4430,0.8590,1.1739,1.2933,3.9844,3.6683
1995,1,0.4156,1.7977,-2.4308,-0.0027,-0.0630,1.1994
1995,2,0.3983,3.6322,-0.6967,-0.8485,0.5097,1.2135
1995,3,0.4134,2.2357,-1.2145,0.1685,1.2654,0.7734
1995,4,0.4450,2.1075,-0.0076,0.0068,0.1420,3.4525
1995,5,0.5355,2.8934,-2.2038,0.8586,-1.0066,1.4665
1995,6,0.4714,2.7151,3.2190,-1.7465,2.1275,1.8058
1995,7,0.4522,3.7121,1.7624,-2.5443,0.9451,0.3082
1995,8,0.4637,0.5526,2.3538,2.1996,0.1383,1.2945
1995,9,0.4309,3.3510,-0.7905,1.9328,1.3917,3.1230
1995,10,0.4714,-1.5134,-5.0247,0.7822,2.7798,4.4585
1995,11,0.4108,3.9618,-0.7575,1.1261,-0.2398,-1.2685
1995,12,0.4882,1.0389,0.6315,3.1163,0.2794,0.4029
1996,1,0.4278,2.2549,-2.6865,2.4510,-1.5087,1.4014
1996,2,0.3908,1.3294,2.7354,-0.9876,3.1394,0.7299
1996,3,0.3943,0.7280,1.8730,-0.6897,0.2756,-1.3197
1996,4,0.4579,2.0645,5.1852,-1.8073,2.8673,1.1692
1996,5,0.3982,2.3872,4.4631,1.0265,1.8640,-1.4412
1996,6,0.4000,-1.1340,-4.2992,1.7381,0.8660,1.7042
1996,7,0.4497,-5.9557,-3.3585,2.0165,2.4150,2.9389
1996,8,0.4122,2.7697,2.4811,-1.8529,0.1305,-1.3885
1996,9,0.4375,5.0076,-1.4457,-1.7381,2.2071,2.9315
1996,10,0.4246,0.8672,-2.4195,3.6633,1.8831,3.2276
1996,11,0.3941,6.2603,-3.5327,-1.3109,0.8165,5.3891
1996,12,0.4404,-1.6784,3.3237,1.2254,0.9371,1.7252
1997,1,0.4014,5.0141,-0.7950,-0.6466,1.8159,2.5869
1997,2,0.3788,-0.4744,-2.4667,2.9153,-1.5374,0.5919
1997,3,0.4310,-5.0208,-0.5279,1.7515,1.7708,0.2064
1997,4,0.4313,4.0341,-4.7258,-1.8801,3.8599,3.0180
1997,5,0.4263,6.7947,5.0194,-3.2305,-0.2201,-1.4875
1997,6,0.3744,4.0843,1.0326,0.2313,2.1092,0.1205
1997,7,0.4294,7.3144,-1.4173,-3.0399,1.2853,1.2828
1997,8,0.4058,-4.0945,7.4961,-0.7059,-1.4198,0.4387
1997,9,0.4576,5.3255,2.4350,-0.1259,-1.0418,-2.6100
1997,10,0.3911,-3.7622,-1.0927,2.6609,-1.0477,-1.4188
1997,11,0.3773,2.9975,-5.5217,2.8803,1.4029,3.6357
1997,12,0.4629,1.3478,-2.2245,2.2364,1.5724,-2.4011
