Phase,Year_Month,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Depression,1990-10,1.953873314318591,1.953873314318591,2.17462042440876,2.4920224701954123,2.8100784451925347,-0.3,6.744618463458063,3.0536,0.1,0.2605,-0.056635346235867,-5.0423,6.71,-1.92,2.97,2.077,-5.12
Depression,1990-11,9.04538696798363,9.045386967983585,9.395565025898048,9.89966281241195,10.405500020665274,-4.74,5.472915952065249,-0.8312,-3.1,-3.9833,9.093931124047284,0.4489,-5.48,6.35,0.65,1.5215,0.07
Depression,1990-12,4.542194690975588,4.542194690975566,4.600773308683826,4.684759901650582,4.768635630141583,-1.89,4.29749348600954,1.4665,-1.7,-1.9466,4.487512444309494,1.3158,0.29,2.46,2.73,3.8535,0.67
Depression,1991-01,9.00947870476606,9.009478704766082,9.463631088890866,10.118034815793774,10.775439991935276,-3.99,8.911818288088114,1.5865,-1.6,-3.9503,13.0487762477004,3.3624,-6.45,4.69,1.28,0.1591,3.91
Depression,1991-02,7.80577449081731,7.80577449081731,7.876150172108133,7.976962115762699,8.07753630682987,-0.33,2.519072085425833,-0.6779,-0.58,0.1463,1.0941682538481157,3.6299,-4.61,7.19,-0.2,-1.2402,3.94
Depression,1991-03,3.5812277042366962,3.5812277042366962,3.5771852604605097,3.5710221365674992,3.564433623675352,-1.06,3.982961129523832,0.0366,-1.39,-0.9285,2.045482702231438,3.9312,2.87,2.65,-0.53,1.6779,3.83
Depression,2000-11,-4.423994196067539,-4.423994196067539,-4.735242790753869,-5.182114240989167,-5.629112814367654,8.43,-8.477183134558853,10.9018,12.3,7.4487,-16.017113269857596,1.5397,-2.32,-10.72,13.07,10.3593,-0.58
Depression,2000-12,8.52419489076356,8.52419489076356,8.39788850231592,8.21443723334,8.028457498864084,4.79,-0.3651321911691596,0.5126,7.61,6.3542,-0.5502301513176322,4.6807,6.74,1.19,1.71,5.186,3.26
Depression,2001-01,5.270926723316356,5.270926723316379,5.540442366999028,5.924414125209417,6.304984609693561,-5.03,11.25585953096413,-6.1594,-5.07,-7.1285,20.911813035484883,2.7241,-25.3,3.13,-4.69,-10.7883,5.48
Depression,2001-02,-4.794671013636873,-4.794671013636873,-5.414466976236129,-6.298803567099728,-7.17693400494995,9.07,-12.589325817944983,6.3589,12.47,9.2309,-10.98363085824634,2.8959,12.57,-10.05,9.1,5.2077,2.83
