Date,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967-09-13,0.0159,0.9705,-0.1568,0.1738,-0.2307,-0.144
1967-09-14,0.0159,0.1411,0.1091,0.6072,0.1917,-0.1183
1967-09-15,0.0159,0.0595,0.0407,0.5981,0.1494,-0.27
1967-09-18,0.0159,0.2573,0.1618,0.2909,0.1857,-0.2229
1967-09-19,0.0159,-0.4444,-0.288,-0.0756,0.2202,0.1832
1967-09-20,0.0159,0.0514,0.6783,0.095,-0.5069,0.1402
1967-09-21,0.0159,0.5619,-0.3146,-0.7389,0.3057,0.1344
1967-09-22,0.0159,0.2825,0.3134,0.0816,0.0042,0.1477
1967-09-25,0.0159,0.4805,-0.5571,-0.0205,0.4829,-0.1995
1967-09-26,0.0159,-0.869,0.0819,-0.1641,0.0547,0.493
1967-09-27,0.0159,0.056,0.1989,-0.3575,-0.0925,-0.4111
1967-09-28,0.0159,0.0748,0.1332,-0.2443,0.391,-0.0732
1967-09-29,0.0159,-0.0051,0.4084,-0.199,-0.3554,0.0145
1967-10-02,0.0166,-0.394,0.0968,-0.0444,-0.0205,0.09
1967-10-03,0.0166,0.3205,0.1668,-0.003,0.2652,-0.2286
1967-10-04,0.0166,-0.1285,0.362,-0.3693,0.0458,-0.1563
1967-10-05,0.0166,0.2058,0.0939,-0.3526,0.2154,-0.126
1967-10-06,0.0166,0.5711,0.055,-0.4082,0.1616,0.1569
1967-10-09,0.0166,0.2041,0.3002,-0.2006,-0.3744,0.2513
1967-10-10,0.0166,-0.7263,0.074,-0.0194,-0.3515,0.4738
1967-10-11,0.0166,-0.4514,-0.0466,-0.0197,0.2997,-0.0291
1967-10-12,0.0166,-0.6105,0.2632,0.0656,0.3363,-0.1082
1967-10-13,0.0166,0.2165,0.3722,0.2508,0.3878,-0.0888
1967-10-16,0.0166,-0.8087,-0.2431,0.1439,0.137,-0.0155
1967-10-17,0.0166,-0.1847,0.2584,-0.0299,0.2555,0.0619
1967-10-18,0.0166,0.2385,-0.1956,-0.442,-0.1407,-0.4445
1967-10-19,0.0166,0.0915,-0.3999,-0.2612,0.7615,0.053
1967-10-20,0.0166,-0.1132,-0.3627,0.1575,0.3765,-0.1834
1967-10-23,0.0166,-0.4783,-0.0266,-0.101,0.1573,-0.1532
1967-10-24,0.0166,-0.5681,-0.1435,-0.1299,0.1405,0.317
1967-10-25,0.0166,0.1445,-0.1086,-0.1679,0.3773,-0.0929
1967-10-26,0.0166,0.4334,0.1912,-0.62,0.2789,-0.3345
1967-10-27,0.0166,0.0159,-0.0096,-0.2222,-0.08,0.3619
1967-10-30,0.0166,-0.1617,0.18,0.1307,0.262,-0.0042
1967-10-31,0.0166,-0.8904,-0.0494,0.1485,-0.0761,0.3987
1967-11-01,0.0171,-1.2186,0.2352,-0.3823,-0.6067,-0.1697
1967-11-02,0.0171,-0.4912,-0.3232,0.2575,-0.3045,-0.0364
1967-11-03,0.0171,-0.483,0.5226,-0.2709,0.2333,-0.0606
1967-11-06,0.0171,-0.3123,-0.09,-0.4136,0.2032,-0.0668
1967-11-08,0.0171,-0.3809,0.1021,0.2188,0.2993,0.0368
1967-11-09,0.0171,0.4153,-0.4675,-0.0405,0.1709,0.1634
1967-11-10,0.0171,0.5846,-0.2186,0.4276,0.2913,0.4587
1967-11-13,0.0171,-0.308,-0.571,-0.2525,-0.8169,-0.1026
1967-11-14,0.0171,-0.7265,-0.6848,0.2425,-0.5654,-0.0212
1967-11-15,0.0171,0.4156,-0.5217,-0.1398,0.4629,-0.1159
1967-11-16,0.0171,0.947,0.312,-0.7384,0.6842,-0.0737
1967-11-17,0.0171,0.3484,0.2887,-0.7004,0.0842,-0.0535
1967-11-20,0.0171,-1.3936,-0.6908,0.0244,-0.3711,-0.0723
1967-11-21,0.0171,1.7087,0.8174,-0.9567,0.4585,-0.0487
1967-11-22,0.0171,0.6565,0.3575,0.1246,0.3119,0.0159
1967-11-24,0.0171,0.2142,-0.1768,-0.2289,-0.1174,-0.0451
1967-11-27,0.0171,0.3497,0.2226,-0.2806,0.3788,0.2768
