,credit_factor,Date
2706,0.01646892387019961,2001-06-28
2707,-0.019165870893369658,2001-06-29
2708,0.01884986338944175,2001-07-02
2709,0.005914948082959093,2001-07-03
2710,-0.008263079342875757,2001-07-05
2711,-0.01227343514584435,2001-07-06
2712,-0.0034596523183517396,2001-07-09
2713,-0.0056255386957690875,2001-07-10
2714,0.009103025339214307,2001-07-11
2715,0.03064852841346688,2001-07-12
2716,-6.029446913606096e-05,2001-07-13
2717,-0.012762873134760565,2001-07-16
2718,0.002160393838273062,2001-07-17
2719,-0.014956227680804655,2001-07-18
2720,0.013841145902668585,2001-07-19
2721,-0.0008297825608513851,2001-07-20
2722,-0.012298081279668464,2001-07-23
2723,-0.010689581593770928,2001-07-24
2724,0.011541210998535466,2001-07-25
2725,0.006233733835827163,2001-07-26
2726,0.017902702332912166,2001-07-27
2727,-0.0071467902250116795,2001-07-30
2728,-0.01620788925437928,2001-07-31
2729,0.014050042070199878,2001-08-01
2730,0.010072695775007644,2001-08-02
2731,-0.014536889347680278,2001-08-03
2732,-0.006487791196416456,2001-08-06
2733,-0.008965549956701853,2001-08-07
2734,-0.028048827935189653,2001-08-08
2735,0.005959995343862652,2001-08-09
2736,-0.003353189525378101,2001-08-10
2737,-0.0002871932471407044,2001-08-13
2738,-0.008370240872212135,2001-08-14
2739,-0.021221249070995207,2001-08-15
2740,-0.006344263469783222,2001-08-16
2741,-0.023627768025370137,2001-08-17
2742,0.0006975053305128343,2001-08-20
2743,-0.010233297746486025,2001-08-21
2744,0.010486015038471366,2001-08-22
2745,-0.002713470435883703,2001-08-23
2746,0.02023011401139999,2001-08-24
2747,0.007552464672043779,2001-08-27
2748,-0.00979174398091763,2001-08-28
2749,-0.020131765803526772,2001-08-29
2750,-0.01020277663676515,2001-08-30
2751,-0.0016821943785132387,2001-08-31
2752,-0.00891765629783731,2001-09-04
2753,-0.0063718576200846675,2001-09-05
2754,-0.023926764341499106,2001-09-06
2755,0.006249604707076112,2001-09-07
2756,0.002304735634993493,2001-09-10
2757,-0.016656692312256173,2001-09-17
2758,-0.023922181247821993,2001-09-18
2759,-0.0073169012354689575,2001-09-19
2760,0.0030449500720374292,2001-09-20
2761,0.017221445277606273,2001-09-21
2762,-0.004889511029571705,2001-09-21
2763,0.024448931371741353,2001-09-24
2764,0.00849491981890883,2001-09-25
2765,0.004154520026843647,2001-09-26
2766,0.0005746619319288307,2001-09-27
2767,0.003317290370706879,2001-09-28
2768,-0.014006026829552265,2001-10-01
2769,-0.006161354553859815,2001-10-02
2770,0.024407298090787392,2001-10-03
2771,0.005287659770178264,2001-10-04
2772,0.0025010207837392385,2001-10-05
2773,0.005120995486260148,2001-10-08
2774,0.010460695942092958,2001-10-09
2775,0.0106517876170691,2001-10-10
2776,0.016949052852528543,2001-10-11
2777,0.003046781858192348,2001-10-12
2778,-0.006242946629042306,2001-10-15
2779,0.0007676187731839017,2001-10-16
2780,-0.013724259079147566,2001-10-17
2781,0.015172389099831951,2001-10-18
2782,0.00666005438958196,2001-10-19
2783,0.0015443188642525005,2001-10-22
2784,0.0024859830639411534,2001-10-23
2785,0.018053628883124354,2001-10-24
2786,0.002655996902204267,2001-10-25
2787,0.005591027481683834,2001-10-26
2788,-0.011742072579193977,2001-10-29
2789,-0.011343324736096304,2001-10-30
2790,0.00691144186558516,2001-10-31
2791,0.020129123468828933,2001-11-01
2792,0.0024406732233084485,2001-11-02
2793,7.757516221160339e-05,2001-11-05
2794,0.010044049698694827,2001-11-06
2795,0.005260685412166113,2001-11-07
2796,-0.011484993667251898,2001-11-08
2797,0.0009977600918250882,2001-11-09
2798,0.005603495004598481,2001-11-12
2799,0.0006120174745554985,2001-11-13
2800,-0.006627962361337968,2001-11-14
2801,-0.003577151701943406,2001-11-15
2802,-0.010230758560003958,2001-11-16
2803,0.010772562705750577,2001-11-19
2804,-0.012432025993373697,2001-11-20
2805,0.014939077502848463,2001-11-21
2806,-0.002281905913055056,2001-11-23
2807,0.007853632899481634,2001-11-26
2808,-0.004851703455787523,2001-11-27
2809,-0.0026241436371526768,2001-11-28
2810,0.017389335153674367,2001-11-29
2811,0.002654179937566777,2001-11-30
2812,-0.0008786820087492448,2001-12-03
2813,0.004784317560168977,2001-12-04
2814,0.009850797234420106,2001-12-05
2815,0.003491154658781517,2001-12-06
2816,-0.004259493104413287,2001-12-07
2817,0.00648547244608356,2001-12-10
2818,0.0057253763024253165,2001-12-11
2819,-0.00085291911495695,2001-12-12
2820,-0.005699606825304439,2001-12-13
2821,0.0004455560398159437,2001-12-14
2822,0.009925543052820819,2001-12-17
2823,-0.004622367876612273,2001-12-18
2824,-0.005143631416636984,2001-12-19
2825,-0.008806940262644973,2001-12-20
2826,0.006745656507884301,2001-12-21
2827,0.0024920374514868426,2001-12-24
2828,0.0006629144817226415,2001-12-26
2829,-0.006390618128919073,2001-12-27
2830,-0.0011831259223285084,2001-12-28
2831,-0.009651339023182477,2001-12-31
2832,-0.007848661641477434,2002-01-02
2833,-0.0006768353745442227,2002-01-03
2834,-0.006061177535964544,2002-01-04
2835,-0.008589371364466733,2002-01-07
2836,0.006298844115195795,2002-01-08
2837,-0.006990309931021883,2002-01-09
2838,0.0044820625851821495,2002-01-10
2839,-0.00815858136344055,2002-01-11
2840,-9.521824719261468e-05,2002-01-14
2841,-0.00021400650361636919,2002-01-15
