Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1971-05-07,0.0781,-0.9562,-0.5986,0.1776,-0.5232,-0.4088
1971-05-14,0.0781,-0.5905,-0.1568,0.8863,0.685,0.5173
1971-05-21,0.0781,-1.3516,-0.6423,0.1756,0.9392,0.6518
1971-05-28,0.0781,-1.162,-0.0808,-0.3251,0.3306,0.1586
1971-06-04,0.0636,1.9012,0.5561,-0.8868,0.0861,0.0514
1971-06-11,0.0796,-0.3988,-0.1722,0.7793,1.5866,0.6172
1971-06-18,0.0796,-2.18,-1.3463,0.2198,2.4938,1.0306
1971-06-25,0.0796,-1.0357,-0.0424,-0.2578,0.422,0.1952
1971-07-02,0.0883,1.9208,0.816,-0.3733,0.088,0.3515
1971-07-09,0.0812,1.0877,0.5507,0.0607,0.4633,0.2486
1971-07-16,0.1015,-1.5323,0.4821,0.7073,0.7193,-0.2669
1971-07-23,0.1015,-0.3791,-0.5356,0.82,0.325,0.3882
1971-07-30,0.1015,-3.8381,-0.7628,0.8065,0.7642,0.4188
1971-08-06,0.1009,-1.2397,-0.4865,0.7878,-0.1419,-0.3852
1971-08-13,0.1009,1.5535,-1.0214,-0.477,-0.5868,0.289
1971-08-20,0.1009,2.5957,0.1566,0.6679,-1.817,-0.233
1971-08-27,0.1009,2.0387,-0.9525,-0.2402,-1.6681,-0.1652
1971-09-03,0.0921,0.2437,0.3181,0.0723,-0.4614,0.1164
1971-09-10,0.069,-0.1436,0.8529,-0.0656,0.4196,0.5442
1971-09-17,0.0863,-0.6425,-0.3693,0.724,1.4534,0.307
1971-09-24,0.0863,-1.7999,0.4239,-0.0901,1.4987,0.2832
1971-10-01,0.0874,0.6984,-0.3083,-0.6733,0.2377,0.4033
1971-10-08,0.0917,0.4526,-0.2797,0.6392,0.0179,0.6952
1971-10-15,0.0917,-1.7164,-0.1533,-0.4338,0.6724,0.4934
1971-10-22,0.0917,-2.355,-0.0357,0.1266,0.9407,0.8191
1971-10-29,0.0917,-1.4416,-0.7854,-1.0609,0.1886,0.3306
1971-11-05,0.0834,0.1986,-0.8377,0.782,1.1475,1.0589
1971-11-12,0.0834,-2.5579,0.0759,-0.2202,0.9153,0.3545
1971-11-19,0.0834,-0.7307,-0.8875,0.0896,0.7249,0.6003
1971-11-26,0.0667,0.1551,-1.8809,-0.3618,-0.3998,-0.1675
1971-12-03,0.0763,5.8711,1.3307,-0.7534,-0.3867,-0.3563
1971-12-10,0.0715,0.9639,1.038,-1.4117,-0.8433,-0.3423
1971-12-17,0.0715,2.4165,-0.143,0.2485,-0.6092,-0.7615
1971-12-23,0.0572,0.4045,-0.3342,0.063,-0.4115,0.0506
1971-12-31,0.0715,1.4576,1.4799,-0.5918,0.1212,-0.3837
1972-01-07,0.0678,1.4216,2.6033,1.8339,-4.2706,-0.2275
1972-01-14,0.0678,0.0837,1.1342,0.0018,-0.1895,1.0002
1972-01-21,0.0678,0.2906,0.7158,-0.613,-0.2057,1.0301
1972-01-28,0.0678,0.7368,1.2147,-1.3329,-1.5936,-0.3143
1972-02-04,0.0667,1.0255,1.7024,0.2631,0.3688,0.5252
1972-02-11,0.0664,0.1305,-0.0187,0.5144,0.432,0.4838
1972-02-18,0.0664,0.252,0.1181,0.9403,0.2557,-0.4219
1972-02-25,0.0531,0.8821,-0.5073,0.4596,-0.8359,-0.1317
1972-03-03,0.0618,1.9169,-0.6407,0.4898,2.1378,0.2804
1972-03-10,0.0588,0.5327,1.5859,-0.4808,0.2089,-0.3692
1972-03-17,0.0588,-0.5989,-0.6465,1.0413,0.759,0.3355
1972-03-24,0.0588,-0.4181,-1.4115,-0.2231,0.5391,0.7753
1972-03-30,0.047,-0.3009,0.1804,0.8299,-0.4945,0.0855
1972-04-07,0.074,2.3355,0.0656,0.053,0.7653,0.1789
1972-04-14,0.074,0.3029,1.2131,-0.0629,0.3309,-0.1522
1972-04-21,0.074,-1.0514,-0.5415,0.5639,-0.5193,-0.2331
1972-04-28,0.074,-1.2842,-0.4672,-0.3157,0.1824,0.4984
