Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
1980-12,   -4.52,   -0.29,    2.79,   -1.29,    1.24,    1.31,  -6.68
1981-01,   -5.04,    3.29,    6.72,   -3.51,    4.33,    1.04,  -7.95
1981-02,    0.57,   -0.50,    1.02,    0.21,    2.22,    1.07,  -1.35
1981-03,    3.56,    3.02,    0.64,   -2.24,   -0.54,    1.21,   0.74
1981-04,   -2.11,    4.59,    2.28,    0.83,    1.24,    1.08,  -0.91
1981-05,    0.11,    2.45,   -0.42,    0.30,   -1.53,    1.15,   3.70
1981-06,   -2.36,   -0.96,    5.13,   -1.37,    2.66,    1.35,  -5.81
1981-07,   -1.54,   -2.05,   -0.50,    1.26,   -2.54,    1.24,  -2.45
1981-08,   -7.04,   -1.81,    4.76,   -0.32,    1.41,    1.28,  -1.15
1981-09,   -7.17,   -2.45,    5.17,    0.08,    2.63,    1.24,   1.95
1981-10,    4.92,    2.37,   -4.21,    3.15,   -3.01,    1.21,   4.01
1981-11,    3.36,   -1.51,    1.83,    0.08,    0.95,    1.07,  -0.27
1981-12,   -3.65,    1.20,    0.81,    0.22,    2.50,    0.87,   1.30
1982-01,   -3.24,   -1.14,    3.19,   -1.49,    1.92,    0.80,   1.72
1982-02,   -5.86,    0.35,    6.05,   -3.48,    4.56,    0.92,   4.88
1982-03,   -1.87,   -0.05,    3.81,   -1.38,    2.49,    0.98,   2.96
1982-04,    3.27,    1.09,   -2.70,    1.57,   -0.01,    1.13,  -0.40
1982-05,   -3.99,    0.64,    1.75,    0.87,   -0.30,    1.06,   2.50
1982-06,   -3.09,   -0.52,    1.53,    0.01,    2.72,    0.96,   4.96
1982-07,   -3.19,    0.95,    0.09,    1.04,    1.55,    1.05,   4.45
1982-08,   11.14,   -4.35,    0.95,   -1.89,    0.09,    0.76,  -3.52
1982-09,    1.29,    2.61,    0.28,    2.14,   -0.04,    0.51,   4.19
1982-10,   11.30,    1.92,   -3.66,    0.29,   -0.34,    0.59,   0.18
1982-11,    4.67,    4.43,   -1.87,   -0.97,    0.27,    0.63,   5.95
1982-12,    0.55,   -0.04,   -0.02,   -0.01,    1.02,    0.67,   0.04
1983-01,    3.60,    3.35,   -0.75,   -1.55,   -0.58,    0.69,  -1.73
1983-02,    2.59,    2.92,    0.70,   -0.52,    1.05,    0.62,   3.77
1983-03,    2.82,    1.37,    2.02,   -0.17,    2.74,    0.63,   0.92
1983-04,    6.67,    0.48,    0.49,   -0.11,    1.42,    0.71,   1.72
1983-05,    0.52,    6.30,   -1.40,   -1.84,   -1.51,    0.69,  -1.56
1983-06,    3.07,    1.18,   -3.90,    2.60,   -0.87,    0.67,   1.80
1983-07,   -4.07,    1.01,    5.62,   -0.14,    2.81,    0.74,  -3.13
1983-08,   -0.50,   -4.32,    5.54,    0.51,    1.90,    0.76,  -5.65
1983-09,    0.91,    0.30,    1.01,    1.24,    0.50,    0.76,  -0.03
1983-10,   -3.44,   -3.77,    4.97,   -0.77,    2.96,    0.76,  -4.52
1983-11,    2.16,    1.87,   -0.72,   -0.67,    0.66,    0.70,  -0.13
1983-12,   -1.78,   -0.45,    1.73,    1.64,    1.27,    0.73,   0.84
1984-01,   -1.92,   -0.04,    7.58,   -0.89,    2.92,    0.76,  -2.56
1984-02,   -4.82,   -1.59,    3.33,    0.90,    1.58,    0.71,   0.22
1984-03,    0.63,   -0.29,    0.46,   -0.96,    1.17,    0.73,   1.07
1984-04,   -0.51,   -0.95,    1.20,    3.34,    0.76,    0.81,   2.07
1984-05,   -5.97,    0.13,    0.31,    2.36,   -0.46,    0.78,   1.51
1984-06,    1.82,    0.11,   -2.66,    3.17,   -1.56,    0.75,  -0.70
