Year_Month,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1992-04,0.3303,1.0759,-6.9392,1.8032,-1.7011,2.0023
1992-05,0.2758,0.2994,-0.26,0.2946,-0.2076,-0.7499
1992-06,0.3201,-2.3292,-2.6362,0.6498,1.0499,0.7786
1992-07,0.2892,3.7907,-0.8431,0.3915,2.5486,-0.024
1992-08,0.2605,-2.3769,-0.3027,-0.7708,1.5206,-0.8624
1992-09,0.2573,1.1928,0.6797,-0.3975,2.3975,-0.8276
1992-10,0.2286,1.0161,1.5547,-0.3589,2.1272,0.61
1992-11,0.2346,4.1278,3.6882,-1.1712,0.9448,-0.1423
1992-12,0.227,1.5884,2.743,1.4108,1.8297,1.04
1993-01,0.2335,0.9302,2.3197,2.9827,-1.4431,0.0495
1993-02,0.2209,0.1217,-3.3152,3.6569,-1.4786,2.1469
1993-03,0.2538,2.3137,-0.0141,0.9273,1.7906,0.5639
1993-04,0.2372,-3.0466,-1.1434,1.201,-3.0656,1.9917
1993-05,0.2168,2.8843,1.8045,-0.8479,-0.5601,-0.273
1993-06,0.2756,0.2822,1.5893,1.8188,3.004,1.4634
1993-07,0.2402,-0.344,1.3909,1.4591,-0.5623,0.8502
1993-08,0.253,3.7117,-0.019,-0.0614,0.4572,0.7642
1993-09,0.2356,-0.1005,3.1054,0.2696,0.9427,1.3638
1993-10,0.221,1.4172,0.4216,-0.5641,-1.4093,-1.4198
1993-11,0.2477,-1.8646,-1.8618,-0.7507,-0.7095,0.1379
1993-12,0.2263,1.6454,2.1125,-0.2555,2.3869,2.2733
1994-01,0.2503,2.8669,0.159,1.1272,-0.922,0.9311
1994-02,0.212,-2.5444,2.6526,-0.4691,2.6619,1.598
1994-03,0.2469,-4.7556,-0.9378,0.9681,0.2218,1.3513
1994-04,0.2711,0.6802,-0.819,1.2741,1.529,1.5131
1994-05,0.315,0.58,-1.9848,0.512,-0.7588,1.4199
1994-06,0.3118,-3.0373,-0.8441,0.9202,0.1932,1.3288
1994-07,0.2751,2.8161,-1.4321,0.4259,0.7148,-0.0945
1994-08,0.3687,4.0148,2.0904,-0.6915,2.061,2.6805
1994-09,0.3659,-2.2829,2.2081,0.5879,1.0911,0.9738
1994-10,0.384,1.3466,-1.8201,0.1613,0.3556,2.448
1994-11,0.3691,-4.0276,0.5354,-1.0042,1.3703,1.4457
1994-12,0.443,0.859,1.1739,1.2933,3.9844,3.7209
1995-01,0.4156,1.7977,-2.4308,-0.0027,-0.063,1.1177
1995-02,0.3983,3.6322,-0.6967,-0.8485,0.5097,1.2099
